Link outlet,Nama panjang,Nama pendek (ShopeeFood),Store ID,Nama kategori,Nama item,Jumlah terjual,Jumlah modifier group,Jumlah modifier,Deskripsi item,Harga item sebelum promo (harga coret),Harga item setelah promo (harga coret),Nominal atau persentase promo (harga coret),Ketersediaan item,Link foto
https://gofood.link/a/G627707583,"Nasi Goreng Si Bontot, Pancoran Mas",Nasi Goreng Si Bontot,G627707583,Menu Hemat,Nasi + Rendang Daging + Kerupuk + Es Teh,0,0,0,,29000.0,29000.0,0,Habis,
https://gofood.link/a/G627707583,"Nasi Goreng Si Bontot, Pancoran Mas",Nasi Goreng Si Bontot,G627707583,Menu Hemat,Nasi Ayam Goreng + Kerupuk + Es Teh,0,0,0,,29000.0,29000.0,0,Tersedia,
https://gofood.link/a/G627707583,"Nasi Goreng Si Bontot, Pancoran Mas",Nasi Goreng Si Bontot,G627707583,Menu Hemat,Nasi Telur Dadar + Kerupuk + Es Teh,0,0,0,,25000.0,25000.0,0,Tersedia,
https://gofood.link/a/G627707583,"Nasi Goreng Si Bontot, Pancoran Mas",Nasi Goreng Si Bontot,G627707583,Makanan,Nasi Rendang Daging,0,0,0,,18000.0,18000.0,0,Habis,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/8cb3142f-547b-4734-b295-1d22bd184596_Go-Biz_20210208_051004.jpeg
https://gofood.link/a/G627707583,"Nasi Goreng Si Bontot, Pancoran Mas",Nasi Goreng Si Bontot,G627707583,Makanan,Nasi Ayam Goreng,0,0,0,,18000.0,18000.0,0,Habis,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/c5332fb9-41af-4b45-94f7-e91543d7aa22_Go-Biz_20210208_051059.jpeg
https://gofood.link/a/G627707583,"Nasi Goreng Si Bontot, Pancoran Mas",Nasi Goreng Si Bontot,G627707583,Makanan,Nasi Rendang Babat,0,0,0,,18000.0,18000.0,0,Tersedia,
https://gofood.link/a/G627707583,"Nasi Goreng Si Bontot, Pancoran Mas",Nasi Goreng Si Bontot,G627707583,Makanan,Nasi Usus,0,0,0,,18000.0,18000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/abd06531-86c3-479a-ab88-5acaa1202e93_Go-Biz_20210208_051018.jpeg
https://gofood.link/a/G627707583,"Nasi Goreng Si Bontot, Pancoran Mas",Nasi Goreng Si Bontot,G627707583,Makanan,Nasi Hati Sapi,0,0,0,,18000.0,18000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/a4e53699-c75f-40dd-aa98-b6ee58aa3bad_Go-Biz_20210208_051034.jpeg
https://gofood.link/a/G627707583,"Nasi Goreng Si Bontot, Pancoran Mas",Nasi Goreng Si Bontot,G627707583,Makanan,Nasi Cingur,0,0,0,,18000.0,18000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/8771b6c0-8e1d-44fd-86e6-515e29497550_Go-Biz_20210208_051046.jpeg
https://gofood.link/a/G627707583,"Nasi Goreng Si Bontot, Pancoran Mas",Nasi Goreng Si Bontot,G627707583,Makanan,Nasi Ayam Gulai,0,0,0,,18000.0,18000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/ea9d7e37-1575-43de-b592-d5025348d4b0_Go-Biz_20210208_051132.jpeg
https://gofood.link/a/G627707583,"Nasi Goreng Si Bontot, Pancoran Mas",Nasi Goreng Si Bontot,G627707583,Makanan,Nasi Ayam Balado,0,0,0,,18000.0,18000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/66aa9eae-64ad-4eb1-8e92-321e31c9d24d_Go-Biz_20210208_051144.jpeg
https://gofood.link/a/G627707583,"Nasi Goreng Si Bontot, Pancoran Mas",Nasi Goreng Si Bontot,G627707583,Makanan,Nasi Telor Dadar,0,0,0,,18000.0,18000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/b1373369-b5a4-4578-a0b1-eb5792a8b201_Go-Biz_20210208_051155.jpeg
https://gofood.link/a/G627707583,"Nasi Goreng Si Bontot, Pancoran Mas",Nasi Goreng Si Bontot,G627707583,Makanan,Nasi + Rendang + Es Teh + Kerupuk,0,0,0,,29000.0,29000.0,0,Habis,
https://gofood.link/a/G627707583,"Nasi Goreng Si Bontot, Pancoran Mas",Nasi Goreng Si Bontot,G627707583,Makanan,Nasi Limpa,0,0,0,,18000.0,18000.0,0,Habis,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/542f73d2-cb78-4f8e-8ad2-2f997ea76b54_Go-Biz_20210208_051206.jpeg
https://gofood.link/a/G627707583,"Nasi Goreng Si Bontot, Pancoran Mas",Nasi Goreng Si Bontot,G627707583,Makanan,Nasi Ayam Goreng + Es Teh + Kerupuk,0,0,0,,29000.0,29000.0,0,Habis,
