Link outlet,Nama panjang,Nama pendek (ShopeeFood),Store ID,Nama kategori,Nama item,Jumlah terjual,Jumlah modifier group,Jumlah modifier,Deskripsi item,Harga item sebelum promo (harga coret),Harga item setelah promo (harga coret),Nominal atau persentase promo (harga coret),Ketersediaan item,Link foto
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Ayam Goreng,0,3,0,"Nasi Panas+lauk,sayur,kuah,sambal Ijo,dll",31000.0,31000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/1779db7a-daaf-49a8-a2c0-0488d7010fb2_Go-Biz_20220202_223659.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Ayam Kare/gulai,0,3,0,"Nasi Panas+lauk,sayur,kuah,sambal Ijo,dll",31000.0,31000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/d093442a-d03e-4ff9-9d85-2dfd48fa0185_Go-Biz_20250408_100409.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Ayam Balado,0,3,0,"Nasi Panas+lauk,sayur,kuah,sambal Ijo,dll",31000.0,31000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/e5e985f6-7ef0-45a4-b723-73c6811f14ba_Go-Biz_20201215_183545.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Ayam Bakar,0,3,0,"Nasi Panas+lauk,sayur,kuah,sambal Ijo,dll",33000.0,33000.0,0,Habis,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/5a410af3-cf41-437b-a996-49db394ed195_Go-Biz_20220202_223803.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Rendang Daging,0,3,0,"Nasi Panas+lauk,sayur,kuah,sambal Ijo,dll",33000.0,33000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/f3ede8f9-fea8-4d0d-9a01-a3bb9462b7f9_Go-Biz_20230108_142456.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Paru Goreng,0,3,0,"Nasi,sayur,kuah,sambal Ijo,dll",20000.0,20000.0,0,Habis,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/d86738d6-e824-4faf-87d6-5fdccb61ce52_Go-Biz_20211001_202843.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Rendang Limpa,0,3,0,"Nasi Panas+lauk,sayur,kuah,sambal Ijo,dll",33000.0,33000.0,0,Habis,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/8f48b722-ccfd-4fd5-9fc3-71509a9846f4_Go-Biz_20201215_184007.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Rendang Hati Sapi,0,3,0,"Nasi+sayur,sambal Ijo Komplit",30000.0,30000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/1e9ceaa5-8a7a-431e-a664-2046225cb976_Go-Biz_20201225_111406.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Ikan Mujair,0,1,0,Nasi Ikan Mujair Sayur Sambal Komplet.,27500.0,27500.0,0,Habis,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/7e4ab4f6-07fa-496a-89e7-bcf48a241620_Go-Biz_20240418_143217.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Babat,0,3,0,,30000.0,30000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/00e8ad78-d077-4426-80ee-56b931a24064_Go-Biz_20201113_195410.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Usus,0,3,0,,30000.0,30000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/72855ba8-99cd-435f-a18e-dd183cac06e0_Go-Biz_20201113_195454.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Otak,0,3,0,"Nasi Panas,sayur Kuah Sambal Ijo",35000.0,35000.0,0,Habis,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/f62b288c-1e6f-41ee-9d44-6ffca69878e5_82cc20d9-50ff-4701-994a-c05cd992301b_Go-Biz_20190629_124809.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Kikil,0,3,0,Nasi+sayur Komplit +sambal Ijo,41500.0,41500.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/83cef067-af90-4bf2-b78e-af8752ee28c3_Go-Biz_20201215_184106.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Peyek  Udang Goreng,0,2,0,"Nasi Panas,sayur Kuah Sambal Ijo",33000.0,33000.0,0,Habis,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/dc9c3325-d6c7-43da-a04d-892e47e3c7d1_Go-Biz_20220202_223834.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Ikan Balado,0,3,0,"Nasi Panas,sayur Kuah Sambal Ijo",30000.0,30000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/3efe3f2a-ac8e-4377-94db-8228d2d11158_Go-Biz_20201113_195534.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Ikan Goreng,0,3,0,"Nasi panas,sayur kuah sambal ijo",30000.0,30000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/67e641f7-2320-41ca-a70c-49d7a919aab6_Go-Biz_20250408_100325.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Udang Balado,0,3,0,,16000.0,16000.0,0,Habis,
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Ikan Gulai,0,3,0,"Nasi Panas,sayur Kuah Sambal Ijo",30000.0,30000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/c847a015-1a13-4e53-8770-340e1e206699_Go-Biz_20250408_100235.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Ikan Lele Goreng,0,3,0,"Nasi Panas,sayur Kuah Sambal Ijo",29900.0,29900.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/2b940b36-0354-4652-a280-91ca0863ac76_b4eaa535-1169-4ebb-b262-5f19c702e34c_Go-Biz_20190629_130226.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Perkedel,0,3,0,"Nasi Panas,sayur Kuah Sambal Ijo",20000.0,20000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/4c7e504d-a9bd-4fad-b182-1b1276cc95b5_6f383d47-d9ce-47fb-96c7-db4a5764838a_Go-Resto_20181010_191918.jpg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Telor Dadar,0,3,0,,20000.0,20000.0,0,Habis,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/f11fcadf-d031-48ec-ac2c-28bf84accd1d_b631e3bf-fa4a-40e7-aeff-9ee9462d77d0_Go-Resto_20181009_121418.jpg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Cumi-cumi,0,3,0,Nasi Cumi Sayur Sambal,38000.0,38000.0,0,Habis,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/4c8ae768-040e-4768-9323-6d5146c76e06_a5e4d915-d680-4cbc-ace9-cf10a57fce77_Go-Biz_20190629_125042.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Rendang + Telor Dadar,0,2,0,,25000.0,25000.0,0,Habis,
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Ayam Chicken,0,1,0,"Nasi,sayur Kuah,sambal,chicken",18000.0,18000.0,0,Habis,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/653d7209-a954-418c-9921-99f4d138d675_Go-Biz_20231113_145707.jpeg
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Ikan Bakar,0,3,0,,22000.0,22000.0,0,Habis,
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Peyek Udang,0,3,0,,23000.0,23000.0,0,Habis,
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Ayam + Telor Dadar,0,2,0,"Nasi panas,sayur kuah sambal ijo",35000.0,35000.0,0,Tersedia,
https://gofood.link/a/G638946642,RM Laura Minang Ampera - Lowokwaru,Laura Minang - Lowokwaru,G638946642,PAKET NASI BUNGKUS,Nasi Ayam + Pergedel,0,2,0,,25000.0,25000.0,0,Habis,
