Link outlet,Nama panjang,Nama pendek (ShopeeFood),Store ID,Nama kategori,Nama item,Jumlah terjual,Jumlah modifier group,Jumlah modifier,Deskripsi item,Harga item sebelum promo (harga coret),Harga item setelah promo (harga coret),Nominal atau persentase promo (harga coret),Ketersediaan item,Link foto
https://gofood.link/a/M166737,"RM Padang Minang Raya, Tlogomas",nan,M166737,Makanan,Nasi + Sayur + Telur Dadar,0,0,0,,20500.0,20500.0,0,Habis,
https://gofood.link/a/M166737,"RM Padang Minang Raya, Tlogomas",nan,M166737,Makanan,Nasi + Sayur + Ikan Balado,0,0,0,,19000.0,19000.0,0,Tersedia,
https://gofood.link/a/M166737,"RM Padang Minang Raya, Tlogomas",nan,M166737,Makanan,Nasi + Sayur + Kikil,0,0,0,,29000.0,29000.0,0,Tersedia,
https://gofood.link/a/M166737,"RM Padang Minang Raya, Tlogomas",nan,M166737,Makanan,Nasi + Sayur + Ikan Goreng,0,0,0,,19000.0,19000.0,0,Tersedia,
https://gofood.link/a/M166737,"RM Padang Minang Raya, Tlogomas",nan,M166737,Makanan,Nasi + Sayur + Perkedel Kentang,0,0,0,,15000.0,15000.0,0,Tersedia,
https://gofood.link/a/M166737,"RM Padang Minang Raya, Tlogomas",nan,M166737,Makanan,Nasi + Sayur + Tahu Goreng,0,0,0,,12500.0,12500.0,0,Habis,
https://gofood.link/a/M166737,"RM Padang Minang Raya, Tlogomas",nan,M166737,Makanan,Nasi + Sayur + Ikan Gulai,0,0,0,,19000.0,19000.0,0,Tersedia,
https://gofood.link/a/M166737,"RM Padang Minang Raya, Tlogomas",nan,M166737,Makanan,Nasi + Sayur + Ayam Gulai,0,0,0,,19000.0,19000.0,0,Tersedia,
https://gofood.link/a/M166737,"RM Padang Minang Raya, Tlogomas",nan,M166737,Makanan,Nasi + Sayur + Ayam Balado,0,0,0,,19000.0,19000.0,0,Tersedia,
https://gofood.link/a/M166737,"RM Padang Minang Raya, Tlogomas",nan,M166737,Makanan,Nasi + Sayur + Ayam Goreng,0,0,0,,19000.0,19000.0,0,Tersedia,
https://gofood.link/a/M166737,"RM Padang Minang Raya, Tlogomas",nan,M166737,Makanan,Nasi + Sayur + Paru Goreng,0,0,0,,22500.0,22500.0,0,Habis,
https://gofood.link/a/M166737,"RM Padang Minang Raya, Tlogomas",nan,M166737,Makanan,Nasi + Sayur + Usus Sapi,0,0,0,,19000.0,19000.0,0,Habis,
https://gofood.link/a/M166737,"RM Padang Minang Raya, Tlogomas",nan,M166737,Makanan,Nasi + Sayur + Daging (rendang),0,0,0,,20000.0,20000.0,0,Tersedia,
