Link outlet,Nama panjang,Nama pendek (ShopeeFood),Store ID,Nama kategori,Nama item,Jumlah terjual,Jumlah modifier group,Jumlah modifier,Deskripsi item,Harga item sebelum promo (harga coret),Harga item setelah promo (harga coret),Nominal atau persentase promo (harga coret),Ketersediaan item,Link foto
https://gofood.link/a/G752093384,Sate Sriwijaya,Sate Sriwijaya,G752093384,Aneka Sate,Sate Ayam (10 Tusuk),0,1,4,"Terdiri dari 10 tusuk sate ayam yang disajikan dengan bumbu kacang super lezat,  bawang merah, sambal yang dapat dicampur atau dipisah sesuai dengan keterangan yang diberikan",41250.0,41250.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/d9313318-2149-4563-9740-301b300b1cd0_menu-item-image_1781063883255.jpg
https://gofood.link/a/G752093384,Sate Sriwijaya,Sate Sriwijaya,G752093384,Aneka Sate,Sate Ayam (15 Tusuk),0,1,4,Terdiri dari 15 tusuk sate ayam yang di balut dengan bumbu kacang / kecap yang lezat,61875.0,61875.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/0bd62874-1a51-4c04-a6d0-8a7ba3d2b6f4_menu-item-image_1781063906802.jpg
https://gofood.link/a/G752093384,Sate Sriwijaya,Sate Sriwijaya,G752093384,Aneka Sate,Sate Kulit Ayam (10 Tusuk),0,1,4,10 Tusuk Sate Kulit Ayam,41250.0,41250.0,0,Habis,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/db46aad3-e5d2-4ab9-ae21-a53d01720902_menu-item-image_1781064197594.jpg
https://gofood.link/a/G752093384,Sate Sriwijaya,Sate Sriwijaya,G752093384,Aneka Sate,Sate Kulit Ayam (15 Tusuk),0,1,4,,61875.0,61875.0,0,Habis,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/2ef87c33-1c76-45ed-b3bf-50280a313876_menu-item-image_1781064449761.jpg
https://gofood.link/a/G752093384,Sate Sriwijaya,Sate Sriwijaya,G752093384,Aneka Sate,Sate Ayam Tanpa Lemak (10 Tusuk),0,1,4,Terdiri Dari 10 Tusuk,57750.0,57750.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/bab0db7d-c3cd-4bf7-afbd-2aabe3cac119_menu-item-image_1781063979767.jpg
https://gofood.link/a/G752093384,Sate Sriwijaya,Sate Sriwijaya,G752093384,Aneka Sate,Sate Ayam Tanpa Lemak (15 Tusuk),0,1,4,Terdiri dari sate ayam tanpa lemak 15 tusuk,86625.0,86625.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/55b21924-e4e8-4196-80ec-55e754ae5763_menu-item-image_1781064132054.jpg
https://gofood.link/a/G752093384,Sate Sriwijaya,Sate Sriwijaya,G752093384,Aneka Sate,Sate Kambing (10 Tusuk),0,1,4,"Terdiri dari 10 tusuk sate kambing yang disajikan dengan bumbu kacang super lezat, bawang merah, sambal yang dapat dicampur atau dipisah sesuai dengan keterangan yang diberikan",99000.0,99000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/690e5f73-a438-4d9b-8c5c-ebd68b319fc0_menu-item-image_1781063334764.jpg
https://gofood.link/a/G752093384,Sate Sriwijaya,Sate Sriwijaya,G752093384,Aneka Sate,Sate Kambing (15 Tusuk),0,1,4,Terdiri dari 15 tusuk sate kambing yang dibalut dengan bumbu kacang / kecap yang khas dan lezat,148500.0,148500.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/339d815c-c84d-4da3-b393-fc1a71c45f9a_menu-item-image_1781063386693.jpg
https://gofood.link/a/G752093384,Sate Sriwijaya,Sate Sriwijaya,G752093384,Aneka Sate,Sate Kambing Tanpa Lemak (10 Tusuk),0,1,4,"Terdiri dari 10 tusuk sate kambing tanpa lemak (1 tusuk berisi daging semua tanpa hati) yang disajikan dengan bumbu kacang super lezat, bawang merah, sambal yang dapat dicampur atau dipisah sesuai dengan keterangan yang diberikan",132000.0,132000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/76db85dc-1c44-4e95-bb6c-7bc53204a3ea_menu-item-image_1781063691484.jpg
https://gofood.link/a/G752093384,Sate Sriwijaya,Sate Sriwijaya,G752093384,Aneka Sate,Sate Kambing Tanpa Lemak (15 Tusuk),0,1,4,"Terdiri dari 15 tusuk sate kambing tanpa lemak / gajih yang dibalut dengan bumbu kacang / kecap yang khas dan lezat, ditambah dengan bawang merah, jeruk nipis yang bisa dipisah / dicampur sesuai dengan pesanan",198000.0,198000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/578b7f81-a3f4-4686-a74a-1f0d193264a8_menu-item-image_1781063864419.jpg
https://gofood.link/a/G752093384,Sate Sriwijaya,Sate Sriwijaya,G752093384,Aneka Sate,Sate Daging Sapi (10 Tusuk),0,2,6,"Terdiri dari 10 tusuk sate daging sapi yang disajikan dengan bumbu kacang super lezat, bawang merah, sambal yang dapat dicampur atau dipisah sesuai dengan keterangan yang diberikan",82500.0,82500.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/f5b0cd4a-775e-4b2a-9dbf-01968b1e8ceb_menu-item-image_1781063930339.jpg
https://gofood.link/a/G752093384,Sate Sriwijaya,Sate Sriwijaya,G752093384,Aneka Sate,Sate Daging Sapi (15 Tusuk),0,2,6,"Terdiri dari 15 tusuk sate daging sapi yang disajikan dengan bumbu kacang / kecap super lezat, bawang merah, sambal yang dapat dicampur atau dipisah sesuai dengan keterangan yang diberikan",123000.0,123000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/cc224c92-898a-47e2-b0e5-845eb56e20cd_menu-item-image_1781063950990.jpg
https://gofood.link/a/G752093384,Sate Sriwijaya,Sate Sriwijaya,G752093384,Lauk Olahan Daging,Gule Kambing,0,0,0,,82500.0,82500.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/fb7c9b2f-dafc-4ec9-a0d3-f4f651ed58ef_menu-item-image_1781065889104.jpg
https://gofood.link/a/G752093384,Sate Sriwijaya,Sate Sriwijaya,G752093384,Lauk Olahan Daging,Kare Kambing,0,0,0,"Kare Kambing Mix Jeroan Kambing, Tidak Bisa Daging Saja",37500.0,37500.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/99d8dc8a-9319-4141-b7db-82629046489f_menu-item-image_1781065914543.jpg
https://gofood.link/a/G752093384,Sate Sriwijaya,Sate Sriwijaya,G752093384,Lauk Olahan Daging,Krengsengan,0,0,0,Daging sapi yang dimasak dengan bumbu krengsengan,49500.0,49500.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/3a9064b3-9b2f-48a8-a052-6f1e1ff83a7b_menu-item-image_1781065937093.jpg
https://gofood.link/a/G752093384,Sate Sriwijaya,Sate Sriwijaya,G752093384,Lauk Olahan Daging,Rawon,0,0,0,,49500.0,49500.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/9cc72a87-8027-4c9c-9caa-cc6622b6a2be_menu-item-image_1781065965296.jpg
https://gofood.link/a/G752093384,Sate Sriwijaya,Sate Sriwijaya,G752093384,Aneka Nasi,Nasi Gule,0,0,0,Nasi + kuah gule,59400.0,59400.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/52d5ee13-6605-4cb4-b335-7f877d483a98_menu-item-image_1781065994246.jpg
https://gofood.link/a/G752093384,Sate Sriwijaya,Sate Sriwijaya,G752093384,Aneka Nasi,Nasi Kare Kambing,0,0,0,Nasi Putih + Kuah Kare Kambing,38000.0,38000.0,0,Tersedia,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/54742fc3-a551-4876-a362-4851eeafc0de_menu-item-image_1781066014817.jpg
