Link outlet,Nama panjang,Nama pendek (ShopeeFood),Store ID,Nama item,Nama modifier group,Nama modifier,Tipe modifier,Minimal,Maksimal,Harga modifier,Ketersediaan modifier
https://gofood.link/a/G752093384,SATE SRIWIJAYA,SATE SRIWIJAYA,G752093384,Sate Ayam (10 Tusuk),Pilihan Bumbu,Bumbu Kacang DIPISAH,Pilihan Tunggal,1,1,0.0,Tersedia
https://gofood.link/a/G752093384,SATE SRIWIJAYA,SATE SRIWIJAYA,G752093384,Sate Ayam (10 Tusuk),Pilihan Bumbu,Bumbu Kacang DICAMPUR,Pilihan Tunggal,1,1,0.0,Tersedia
https://gofood.link/a/G752093384,SATE SRIWIJAYA,SATE SRIWIJAYA,G752093384,Sate Ayam (10 Tusuk),Pilihan Bumbu,"Bumbu KECAP SAJA tanpa Kacang, DIPISAH",Pilihan Tunggal,1,1,0.0,Tersedia
https://gofood.link/a/G752093384,SATE SRIWIJAYA,SATE SRIWIJAYA,G752093384,Sate Ayam (10 Tusuk),Pilihan Bumbu,"Bumbu KECAP SAJA tanpa Kacang, DICAMPUR",Pilihan Tunggal,1,1,0.0,Tersedia
https://gofood.link/a/G752093384,SATE SRIWIJAYA,SATE SRIWIJAYA,G752093384,Sate Ayam (15 Tusuk),Pilihan Bumbu,Bumbu Kacang DIPISAH,Pilihan Tunggal,1,1,0.0,Tersedia
https://gofood.link/a/G752093384,SATE SRIWIJAYA,SATE SRIWIJAYA,G752093384,Sate Ayam (15 Tusuk),Pilihan Bumbu,Bumbu Kacang DICAMPUR,Pilihan Tunggal,1,1,0.0,Tersedia
https://gofood.link/a/G752093384,SATE SRIWIJAYA,SATE SRIWIJAYA,G752093384,Sate Ayam (15 Tusuk),Pilihan Bumbu,"Bumbu KECAP SAJA tanpa Kacang, DIPISAH",Pilihan Tunggal,1,1,0.0,Tersedia
https://gofood.link/a/G752093384,SATE SRIWIJAYA,SATE SRIWIJAYA,G752093384,Sate Ayam (15 Tusuk),Pilihan Bumbu,"Bumbu KECAP SAJA tanpa Kacang, DICAMPUR",Pilihan Tunggal,1,1,0.0,Tersedia
https://gofood.link/a/G752093384,SATE SRIWIJAYA,SATE SRIWIJAYA,G752093384,Sate Kulit Ayam (10 Tusuk),Pilihan Bumbu,Bumbu Kacang DIPISAH,Pilihan Tunggal,1,1,0.0,Tersedia
https://gofood.link/a/G752093384,SATE SRIWIJAYA,SATE SRIWIJAYA,G752093384,Sate Kulit Ayam (10 Tusuk),Pilihan Bumbu,Bumbu Kacang DICAMPUR,Pilihan Tunggal,1,1,0.0,Tersedia
